Name: target_1, Result: ((c & (~ d)) ^ (((- 1) * c) + d)), Size: 11, OrigSize: 79, VarNum: 2, IsPoly: false, AlterOrig: 2, AlterDeob: 1, RuleNumber: 352, RuleCount: 6, LinearReduce: 19, SynthReduce: 49, RuleReduce: 11, Time: 27.000000
Name: target_10, Result: (d * (((b * d) ^ (((((((- 1) << 1) ^ (~ 1)) ^ b) + d) + 1) + (~ (d & (b ^ (((- 1) << 1) ^ (~ 1))))))) - (((~ (b * d)) & (((((((- 1) << 1) ^ (~ 1)) ^ b) + d) + 1) + (~ (d & (b ^ (((- 1) << 1) ^ (~ 1))))))) + ((~ (b * d)) & (((((((- 1) << 1) ^ (~ 1)) ^ b) + d) + 1) + (~ (d & (b ^ (((- 1) << 1) ^ (~ 1)))))))))), Size: 96, OrigSize: 1097, VarNum: 2, IsPoly: false, AlterOrig: 34, AlterDeob: 14, RuleNumber: 352, RuleCount: 42, LinearReduce: 39, SynthReduce: 6, RuleReduce: 1052, Time: 27.000000
Name: target_100, Result: ((- (((((~ ((- (((a ^ (~ ((((((- 1) << 1) ^ (~ 1)) + a) + 1) + ((((- 1) << 1) ^ 1) | (~ a))))) + ((a | ((((((- 1) << 1) ^ (~ 1)) + a) + 1) + ((((- 1) << 1) ^ 1) | (~ a)))) + (a | ((((((- 1) << 1) ^ (~ 1)) + a) + 1) + ((((- 1) << 1) ^ 1) | (~ a)))))) + 1)) - 1)) | d) - (~ ((- (((a ^ (~ ((((((- 1) << 1) ^ (~ 1)) + a) + 1) + ((((- 1) << 1) ^ 1) | (~ a))))) + ((a | ((((((- 1) << 1) ^ (~ 1)) + a) + 1) + ((((- 1) << 1) ^ 1) | (~ a)))) + (a | ((((((- 1) << 1) ^ (~ 1)) + a) + 1) + ((((- 1) << 1) ^ 1) | (~ a)))))) + 1)) - 1))) | c) + ((((~ ((- (((a ^ (~ ((((((- 1) << 1) ^ (~ 1)) + a) + 1) + ((((- 1) << 1) ^ 1) | (~ a))))) + ((a | ((((((- 1) << 1) ^ (~ 1)) + a) + 1) + ((((- 1) << 1) ^ 1) | (~ a)))) + (a | ((((((- 1) << 1) ^ (~ 1)) + a) + 1) + ((((- 1) << 1) ^ 1) | (~ a)))))) + 1)) - 1)) | d) - (~ ((- (((a ^ (~ ((((((- 1) << 1) ^ (~ 1)) + a) + 1) + ((((- 1) << 1) ^ 1) | (~ a))))) + ((a | ((((((- 1) << 1) ^ (~ 1)) + a) + 1) + ((((- 1) << 1) ^ 1) | (~ a)))) + (a | ((((((- 1) << 1) ^ (~ 1)) + a) + 1) + ((((- 1) << 1) ^ 1) | (~ a)))))) + 1)) - 1))) & c))) - 1), Size: 326, OrigSize: 546, VarNum: 3, IsPoly: false, AlterOrig: 26, AlterDeob: 36, RuleNumber: 352, RuleCount: 26, LinearReduce: 186, SynthReduce: 24, RuleReduce: 336, Time: 28.000000
Name: target_101, Result: ((((a | (b * b)) ^ (- a)) * b) & b), Size: 12, OrigSize: 419, VarNum: 2, IsPoly: false, AlterOrig: 25, AlterDeob: 1, RuleNumber: 352, RuleCount: 13, LinearReduce: 36, SynthReduce: 6, RuleReduce: 377, Time: 26.000000
Name: target_102, Result: (((b & (~ d)) + (~ 0)) & b), Size: 9, OrigSize: 93, VarNum: 2, IsPoly: false, AlterOrig: 10, AlterDeob: 0, RuleNumber: 352, RuleCount: 6, LinearReduce: 35, SynthReduce: 14, RuleReduce: 44, Time: 32.000000
Name: target_103, Result: (- b), Size: 2, OrigSize: 37, VarNum: 1, IsPoly: false, AlterOrig: 9, AlterDeob: 0, RuleNumber: 352, RuleCount: 9, LinearReduce: 0, SynthReduce: 35, RuleReduce: 2, Time: 6.000000
Name: target_105, Result: (((((((e ^ ((d * c) - 1)) + ((e | (~ ((d * c) - 1))) + (e | (~ ((d * c) - 1))))) + 1) & (~ (((((((~ e) | (c + d)) + e) + 1) & (~ e)) + (((((~ e) | (c + d)) + e) + 1) & (~ e))) - (((((~ e) | (c + d)) + e) + 1) ^ e)))) + ((((e ^ ((d * c) - 1)) + ((e | (~ ((d * c) - 1))) + (e | (~ ((d * c) - 1))))) + 1) & (~ (((((((~ e) | (c + d)) + e) + 1) & (~ e)) + (((((~ e) | (c + d)) + e) + 1) & (~ e))) - (((((~ e) | (c + d)) + e) + 1) ^ e))))) - ((((e ^ ((d * c) - 1)) + ((e | (~ ((d * c) - 1))) + (e | (~ ((d * c) - 1))))) + 1) ^ (((((((~ e) | (c + d)) + e) + 1) & (~ e)) + (((((~ e) | (c + d)) + e) + 1) & (~ e))) - (((((~ e) | (c + d)) + e) + 1) ^ e)))) ^ (d + e)), Size: 212, OrigSize: 751, VarNum: 3, IsPoly: false, AlterOrig: 70, AlterDeob: 32, RuleNumber: 352, RuleCount: 60, LinearReduce: 31, SynthReduce: 0, RuleReduce: 720, Time: 30.000000
Name: target_106, Result: (((((~ e) | ((e * d) * ((d + (~ e)) + 1))) + e) + (((d * e) & ((~ 0) ^ (e - d))) + (((- 1) * d) + e))) ^ (~ 0)), Size: 36, OrigSize: 298, VarNum: 2, IsPoly: false, AlterOrig: 17, AlterDeob: 5, RuleNumber: 352, RuleCount: 14, LinearReduce: 6, SynthReduce: 46, RuleReduce: 246, Time: 36.000000
Name: target_107, Result: (((((b + (d + b)) * d) & (~ b)) << 1) - (((b + (d + b)) * d) ^ b)), Size: 22, OrigSize: 234, VarNum: 2, IsPoly: false, AlterOrig: 30, AlterDeob: 2, RuleNumber: 352, RuleCount: 4, LinearReduce: 0, SynthReduce: 40, RuleReduce: 194, Time: 37.000000
Name: target_108, Result: ((~ (((c + c) & (c * d)) - 1)) ^ ((- 1) * d)), Size: 15, OrigSize: 147, VarNum: 2, IsPoly: false, AlterOrig: 14, AlterDeob: 2, RuleNumber: 352, RuleCount: 16, LinearReduce: 11, SynthReduce: 0, RuleReduce: 136, Time: 26.000000
Name: target_109, Result: ((~ 0) * ((- d) - (e | d))), Size: 9, OrigSize: 215, VarNum: 3, IsPoly: false, AlterOrig: 22, AlterDeob: 2, RuleNumber: 352, RuleCount: 16, LinearReduce: 70, SynthReduce: 36, RuleReduce: 109, Time: 23.000000
Name: target_11, Result: ((~ d) + (- (~ ((b * b) | (d & b))))), Size: 12, OrigSize: 62, VarNum: 2, IsPoly: false, AlterOrig: 7, AlterDeob: 3, RuleNumber: 352, RuleCount: 10, LinearReduce: 8, SynthReduce: 5, RuleReduce: 49, Time: 26.000000
Name: target_110, Result: ((- a) & (a - d)), Size: 6, OrigSize: 49, VarNum: 2, IsPoly: false, AlterOrig: 7, AlterDeob: 0, RuleNumber: 352, RuleCount: 2, LinearReduce: 22, SynthReduce: 21, RuleReduce: 6, Time: 9.000000
Name: target_111, Result: (((((d + e) + ((((2 + d) + (d ^ (e << 1))) + (- d)) - 2)) + 1) + (((- (d + e)) - 1) | ((- ((((2 + d) + (d ^ (e << 1))) + (- d)) - 2)) - 1))) * (d + ((- 1) * e))), Size: 52, OrigSize: 473, VarNum: 2, IsPoly: false, AlterOrig: 52, AlterDeob: 3, RuleNumber: 352, RuleCount: 29, LinearReduce: 15, SynthReduce: 14, RuleReduce: 444, Time: 32.000000
Name: target_112, Result: ((e + (d & (~ a))) - (~ 0)), Size: 9, OrigSize: 106, VarNum: 3, IsPoly: false, AlterOrig: 13, AlterDeob: 1, RuleNumber: 352, RuleCount: 4, LinearReduce: 18, SynthReduce: 37, RuleReduce: 51, Time: 37.000000
Name: target_113, Result: ((((e & b) - 1) | (b << 1)) - (~ 0)), Size: 12, OrigSize: 38, VarNum: 2, IsPoly: false, AlterOrig: 5, AlterDeob: 0, RuleNumber: 352, RuleCount: 4, LinearReduce: 4, SynthReduce: 14, RuleReduce: 20, Time: 34.000000
